2044914213,Suica,David,12/12/1996,male,A,B,C,D,YEARLY,15/01/2021,15/01/2022,individual
767388492,Hank,Aaron,,,,,,,,,,individual
583071605,Jessica,Alba,,,,,,,,,,individual
1190068699,Susan,Anthony,,,,,,,,,,individual
96998479,Jane,Austen,,,,,,,,,,individual
542265458,Francis,Bacon,,,,,,,,,,individual
939302745,Joey,Barton,,,,,,,,,,individual
926310563,Samuel,Beckett,,,,,,,,,,individual
327601,Linda,Bishop,18/12/1987,female,"Mayfield Cottage, Richmond Park",7923901298,,,,,,individual
1036449348,Lindsey,Bishop,,,,,,,,,,individual
232294338,Elizabeth,Bowen,,,,,,,,,,individual
486259185,Emily,Bronte,,,,,,,,,,individual
846549727,George,Bush,,,,,,,,,,individual
898131627,Kirk,Cameron,,,,,,,,,,individual
1140074851,Agatha,Christie,,,,,,,,,,individual
835817504,Wesley,Clark,,,,,,,,,,individual
1056834210,Andrew,Cole,,,,,,,,,,individual
86301,Matt,Cooper,15/10/1968,male,12-1 Meadow Gardens,2202378,,,,,,individual
661563563,Charles,Darwin,,,,,,,,,,individual
153654149,Emily,Dickinson,,,,,,,,,,individual
164515398,Bob,Dylan,,,,,,,,,,individual
830826523,Albert,Einstein,,,,,,,,,,individual
707059038,Richard,Feynman,,,,,,,,,,individual
1123651470,Judy,Garland,,,,,,,,,,individual
884607382,William,Golding,,,,,,,,,,individual
703367669,Lindsey,Graham,,,,,,,,,,individual
1796817560,Anne,Hathaway,,,,,,,,,,individual
1668869412,Mary,Hirsch,,,,,,,,,,individual
331986322,Douglas,Hofstadter,,,,,,,,,,individual
936283142,Lee,Iacocca,,,,,,,,,,individual
1023728981,David,James,,,,,,,,,,individual
1666546096,Steve,Jobs,,,,,,,,,,individual
991215,Sue,Jones,,female,105 Holmes Lane,1909320987,,,,,,individual
1328546043,Ashley,Judd,,,,,,,,,,individual
2081468639,Helen,Keller,,,,,,,,,,individual
1645684789,John,Kruk,,,,,,,,,,individual
316635427,Michael,Laitman,,,,,,,,,,individual
213839,Sandy,Lees,25/07/1967,female,12 West Street,7442345112,,,,,,individual
1447472478,John,Lennon,,,,,,,,,,individual
956477608,Richard,Lovelace,,,,,,,,,,individual
1357371567,Thomas,Marshall,,,,,,,,,,individual
1305459267,Joni,Mitchell,,,,,,,,,,individual
1056555890,Jane,Monheit,,,,,,,,,,individual
1560711207,Isaac,Newton,,,,,,,,,,individual
34424777,George,Orwell,,,,,,,,,,individual
430121,Simon,Parkin,30/05/1980,,Flat 102 Mountain View,,,,,,,individual
289533923,Isabel,Paterson,,,,,,,,,,individual
347571889,Martha,Powell,,,,,,,,,,individual
1156808131,Nancy,Raskin,,,,,,,,,,individual
1240743919,Jackie,Robinson,,,,,,,,,,individual
1509574422,Rita,Rudner,,,,,,,,,,individual
1449066430,Carl,Sagan,,,,,,,,,,individual
870121,Anne,Smith,02/11/1983,female,130 Westside Drive,1142752205,,,,,,individual
1578181905,Carrie,Snow,,,,,,,,,,individual
2000312731,Lucy,Stone,,,,,,,,,,individual
494875757,Nikola,Tesla,,,,,,,,,,individual
1813633941,Mark,Twain,,,,,,,,,,individual
1854802852,John,Updike,,,,,,,,,,individual
420990727,Paul,Vixie,,,,,,,,,,individual
49822,Jane,Watson,15/08/1995,,,,,,,,,individual
589108,George,Wesley,23/02/1951,male,23A Manchester Road,1142684659,,,,,,individual
1770581677,Mae,West,,,,,,,,,,individual
1683397413,Oscar,Wilde,,,,,,,,,,individual
553593058,Martha,Wishington,,,,,,,,,,individual
1883492885,Bradley,Wright-Phillips,19/07/1961,,,,,,,,,individual
1029477529,Laura,Wright-Phillips,,,,,,,,,,individual
1701871350,Cy,Young,,,,,,,,,,individual
1464508958,Frank,Zappa,,,,,,,,,,individual
